Sample	Number_mutations	Number_indels	Mean_depth
PD37580a_lo0016	8714	76	13.4501018329939
PD37580a_lo0019	9130	107	16.1614798072624
PD37580a_lo0034	8605	70	13.1530102826487
PD37580a_lo0048	8584	61	14.1747180964681
PD37580a_lo0049	8715	103	17.7024241220009
PD37580a_lo0006	8599	79	13.2796309174904
PD37580a_lo0060	9227	86	16.1659008494362
PD37580a_lo0063	8492	66	13.2180840494759
PD37580a_lo0065	9164	106	19.0162808603646
PD37580a_lo0091	9204	116	17.0223784213402
