donor_id,PD50308,PD40521,PD50307,PD37580,PD41048,PD47703,PD49237,PD47537,PD49236,PD44579,PD45534
Copy neutral loss of heterozygosity,0,0,0,0,0,3,0,1,1,1,2
Sample_number,41,41,41,84,200,200,44,44,173,173,200
Copy_neutral_LOH_fraction,0,0,0,0,0,0.015,0,0.022727273,0.005780347,0.005780347,0.01
Total,0,0,0,0,0,0.015,0,0.022727273,0.005780347,0.005780347,0.01
