Sample	Patient	Method
PD41048_169	PD41048	colonies
PD41048_130	PD41048	colonies
PD41048_77	PD41048	colonies
PD41048_160	PD41048	colonies
PD41048_115	PD41048	colonies
PD41048_35	PD41048	colonies
PD41048_62	PD41048	colonies
PD41048_5	PD41048	colonies
PD41048_110	PD41048	colonies
PD41048_39	PD41048	colonies
PD41048_190	PD41048	colonies
PD41048_132	PD41048	colonies
PD41048_145	PD41048	colonies
PD41048_36	PD41048	colonies
PD41048_100	PD41048	colonies
PD41048_175	PD41048	colonies
PD41048_120	PD41048	colonies
PD41048_101	PD41048	colonies
PD41048_146	PD41048	colonies
PD41048_398	PD41048	colonies
PD41048_21	PD41048	colonies
PD41048_163	PD41048	colonies
PD41048_173	PD41048	colonies
PD41048_59	PD41048	colonies
PD41048_188	PD41048	colonies
PD41048_30	PD41048	colonies
PD41048_4	PD41048	colonies
PD41048_80	PD41048	colonies
PD41048_23	PD41048	colonies
PD41048_107	PD41048	colonies
PD41048_108	PD41048	colonies
PD41048_81	PD41048	colonies
PD41048_195	PD41048	colonies
PD41048_131	PD41048	colonies
PD41048_16	PD41048	colonies
PD41048_171	PD41048	colonies
PD41048_394	PD41048	colonies
PD41048_53	PD41048	colonies
PD41048_105	PD41048	colonies
PD41048_162	PD41048	colonies
PD41048_46	PD41048	colonies
PD41048_104	PD41048	colonies
PD41048_138	PD41048	colonies
PD41048_15	PD41048	colonies
PD41048_136	PD41048	colonies
PD41048_79	PD41048	colonies
PD41048_58	PD41048	colonies
PD41048_159	PD41048	colonies
PD41048_33	PD41048	colonies
PD41048_7	PD41048	colonies
PD41048_144	PD41048	colonies
PD41048_75	PD41048	colonies
PD41048_38	PD41048	colonies
PD41048_57	PD41048	colonies
PD41048_64	PD41048	colonies
PD41048_84	PD41048	colonies
PD41048_3	PD41048	colonies
PD41048_73	PD41048	colonies
PD41048_52	PD41048	colonies
PD41048_76	PD41048	colonies
PD41048_118	PD41048	colonies
PD41048_65	PD41048	colonies
PD41048_164	PD41048	colonies
PD41048_359	PD41048	colonies
PD41048_89	PD41048	colonies
PD41048_114	PD41048	colonies
PD41048_18	PD41048	colonies
PD41048_93	PD41048	colonies
PD41048_6	PD41048	colonies
PD41048_229	PD41048	colonies
PD41048_339	PD41048	colonies
PD41048_263	PD41048	colonies
PD41048_11	PD41048	colonies
PD41048_87	PD41048	colonies
PD41048_196	PD41048	colonies
PD41048_96	PD41048	colonies
PD41048_185	PD41048	colonies
PD41048_26	PD41048	colonies
PD41048_69	PD41048	colonies
PD41048_182	PD41048	colonies
PD41048_28	PD41048	colonies
PD41048_170	PD41048	colonies
PD41048_200	PD41048	colonies
PD41048_313	PD41048	colonies
PD41048_390	PD41048	colonies
PD41048_27	PD41048	colonies
PD41048_17	PD41048	colonies
PD41048_174	PD41048	colonies
PD41048_178	PD41048	colonies
PD41048_179	PD41048	colonies
PD41048_98	PD41048	colonies
PD41048_165	PD41048	colonies
PD41048_109	PD41048	colonies
PD41048_199	PD41048	colonies
PD41048_72	PD41048	colonies
PD41048_24	PD41048	colonies
PD41048_157	PD41048	colonies
PD41048_63	PD41048	colonies
PD41048_148	PD41048	colonies
PD41048_151	PD41048	colonies
PD41048_371	PD41048	colonies
PD41048_356	PD41048	colonies
PD41048_56	PD41048	colonies
PD41048_399	PD41048	colonies
PD41048_301	PD41048	colonies
PD41048_226	PD41048	colonies
PD41048_283	PD41048	colonies
PD41048_168	PD41048	colonies
PD41048_397	PD41048	colonies
PD41048_368	PD41048	colonies
PD41048_331	PD41048	colonies
PD41048_266	PD41048	colonies
PD41048_324	PD41048	colonies
PD41048_264	PD41048	colonies
PD41048_258	PD41048	colonies
PD41048_389	PD41048	colonies
PD41048_246	PD41048	colonies
PD41048_373	PD41048	colonies
PD41048_262	PD41048	colonies
PD41048_314	PD41048	colonies
PD41048_242	PD41048	colonies
PD41048_207	PD41048	colonies
PD41048_281	PD41048	colonies
PD41048_237	PD41048	colonies
PD41048_340	PD41048	colonies
PD41048_328	PD41048	colonies
PD41048_228	PD41048	colonies
PD41048_302	PD41048	colonies
PD41048_278	PD41048	colonies
PD41048_295	PD41048	colonies
PD41048_253	PD41048	colonies
PD41048_367	PD41048	colonies
PD41048_248	PD41048	colonies
PD41048_218	PD41048	colonies
PD41048_310	PD41048	colonies
PD41048_231	PD41048	colonies
PD41048_244	PD41048	colonies
PD41048_315	PD41048	colonies
PD41048_269	PD41048	colonies
PD41048_288	PD41048	colonies
PD41048_363	PD41048	colonies
PD41048_271	PD41048	colonies
PD41048_385	PD41048	colonies
PD41048_396	PD41048	colonies
PD41048_387	PD41048	colonies
PD41048_251	PD41048	colonies
PD41048_305	PD41048	colonies
PD41048_297	PD41048	colonies
PD41048_272	PD41048	colonies
PD41048_203	PD41048	colonies
PD41048_247	PD41048	colonies
PD41048_277	PD41048	colonies
PD41048_364	PD41048	colonies
PD41048_292	PD41048	colonies
PD41048_345	PD41048	colonies
PD41048_336	PD41048	colonies
PD41048_274	PD41048	colonies
PD41048_306	PD41048	colonies
PD41048_298	PD41048	colonies
PD41048_208	PD41048	colonies
PD41048_333	PD41048	colonies
PD41048_338	PD41048	colonies
PD41048_291	PD41048	colonies
PD41048_215	PD41048	colonies
PD41048_335	PD41048	colonies
PD41048_300	PD41048	colonies
PD41048_219	PD41048	colonies
PD41048_357	PD41048	colonies
PD41048_386	PD41048	colonies
PD41048_282	PD41048	colonies
PD41048_286	PD41048	colonies
PD41048_351	PD41048	colonies
PD41048_255	PD41048	colonies
PD41048_369	PD41048	colonies
PD41048_312	PD41048	colonies
PD41048_391	PD41048	colonies
PD41048_346	PD41048	colonies
PD41048_381	PD41048	colonies
PD41048_316	PD41048	colonies
PD41048_307	PD41048	colonies
PD41048_287	PD41048	colonies
PD41048_343	PD41048	colonies
PD41048_341	PD41048	colonies
PD41048_360	PD41048	colonies
PD41048_270	PD41048	colonies
PD41048_365	PD41048	colonies
PD41048_326	PD41048	colonies
PD41048_379	PD41048	colonies
PD41048_380	PD41048	colonies
PD41048_355	PD41048	colonies
PD41048_202	PD41048	colonies
PD41048_299	PD41048	colonies
PD41048_204	PD41048	colonies
PD41048_321	PD41048	colonies
PD41048_285	PD41048	colonies
PD41048_252	PD41048	colonies
PD41048_273	PD41048	colonies
PD41048_323	PD41048	colonies
PD41048_205	PD41048	colonies
PD41048_235	PD41048	colonies
PD41048_279	PD41048	colonies
PD41048_304	PD41048	colonies
PD41048_213	PD41048	colonies
PD41048_342	PD41048	colonies
PD41048_320	PD41048	colonies
PD41048_362	PD41048	colonies
PD41048_352	PD41048	colonies
PD41048_280	PD41048	colonies
PD41048_383	PD41048	colonies
PD41048_329	PD41048	colonies
PD41048_241	PD41048	colonies
PD41048_348	PD41048	colonies
PD41048_254	PD41048	colonies
PD41048_268	PD41048	colonies
PD41048_240	PD41048	colonies
PD41048_332	PD41048	colonies
PD41048_344	PD41048	colonies
PD41048_378	PD41048	colonies
PD41048_284	PD41048	colonies
PD41048_294	PD41048	colonies
PD41048_222	PD41048	colonies
PD41048_220	PD41048	colonies
PD41048_358	PD41048	colonies
PD41048_317	PD41048	colonies
PD41048_392	PD41048	colonies
PD41048_319	PD41048	colonies
PD41048_243	PD41048	colonies
PD41048_217	PD41048	colonies
PD41048_303	PD41048	colonies
PD41048_372	PD41048	colonies
PD41048_230	PD41048	colonies
PD41048_370	PD41048	colonies
PD41048_214	PD41048	colonies
PD41048_289	PD41048	colonies
PD41048_259	PD41048	colonies
PD41048_361	PD41048	colonies
PD41048_256	PD41048	colonies
PD41048_212	PD41048	colonies
PD41048_233	PD41048	colonies
PD41048_267	PD41048	colonies
PD41048_347	PD41048	colonies
PD41048_388	PD41048	colonies
PD41048_276	PD41048	colonies
PD41048_350	PD41048	colonies
PD41048_325	PD41048	colonies
PD41048_225	PD41048	colonies
PD41048_209	PD41048	colonies
PD41048_334	PD41048	colonies
PD41048_227	PD41048	colonies
PD41048_354	PD41048	colonies
PD41048_382	PD41048	colonies
PD41048_308	PD41048	colonies
PD41048_221	PD41048	colonies
PD41048_249	PD41048	colonies
PD43976_5	PD43976	colonies
PD43976_8	PD43976	colonies
PD43976_6	PD43976	colonies
PD43976_4	PD43976	colonies
PD43976_3	PD43976	colonies
PD43976_1	PD43976	colonies
PD43976_7	PD43976	colonies
PD43976_2	PD43976	colonies
PD43976_10	PD43976	colonies
PD43976_9	PD43976	colonies
PD43976_18	PD43976	colonies
PD43976_13	PD43976	colonies
PD43976_12	PD43976	colonies
PD43976_16	PD43976	colonies
PD43976_14	PD43976	colonies
PD43976_17	PD43976	colonies
PD43976_19	PD43976	colonies
PD43976_15	PD43976	colonies
PD44579_86	PD44579	colonies
PD44579_159	PD44579	colonies
PD44579_51	PD44579	colonies
PD44579_65	PD44579	colonies
PD44579_29	PD44579	colonies
PD44579_114	PD44579	colonies
PD44579_166	PD44579	colonies
PD44579_80	PD44579	colonies
PD44579_57	PD44579	colonies
PD44579_130	PD44579	colonies
PD44579_60	PD44579	colonies
PD44579_91	PD44579	colonies
PD44579_96	PD44579	colonies
PD44579_149	PD44579	colonies
PD44579_78	PD44579	colonies
PD44579_147	PD44579	colonies
PD44579_40	PD44579	colonies
PD44579_21	PD44579	colonies
PD44579_35	PD44579	colonies
PD44579_164	PD44579	colonies
PD44579_72	PD44579	colonies
PD44579_17	PD44579	colonies
PD44579_61	PD44579	colonies
PD44579_62	PD44579	colonies
PD44579_14	PD44579	colonies
PD44579_184	PD44579	colonies
PD44579_102	PD44579	colonies
PD44579_104	PD44579	colonies
PD44579_99	PD44579	colonies
PD44579_75	PD44579	colonies
PD44579_12	PD44579	colonies
PD44579_37	PD44579	colonies
PD44579_112	PD44579	colonies
PD44579_58	PD44579	colonies
PD44579_2	PD44579	colonies
PD44579_13	PD44579	colonies
PD44579_213	PD44579	colonies
PD44579_235	PD44579	colonies
PD44579_163	PD44579	colonies
PD44579_39	PD44579	colonies
PD44579_120	PD44579	colonies
PD44579_15	PD44579	colonies
PD44579_174	PD44579	colonies
PD44579_52	PD44579	colonies
PD44579_81	PD44579	colonies
PD44579_66	PD44579	colonies
PD44579_10	PD44579	colonies
PD44579_49	PD44579	colonies
PD44579_140	PD44579	colonies
PD44579_95	PD44579	colonies
PD44579_18	PD44579	colonies
PD44579_139	PD44579	colonies
PD44579_56	PD44579	colonies
PD44579_152	PD44579	colonies
PD44579_34	PD44579	colonies
PD44579_172	PD44579	colonies
PD44579_84	PD44579	colonies
PD44579_23	PD44579	colonies
PD44579_33	PD44579	colonies
PD44579_93	PD44579	colonies
PD44579_100	PD44579	colonies
PD44579_168	PD44579	colonies
PD44579_129	PD44579	colonies
PD44579_45	PD44579	colonies
PD44579_150	PD44579	colonies
PD44579_85	PD44579	colonies
PD44579_165	PD44579	colonies
PD44579_173	PD44579	colonies
PD44579_161	PD44579	colonies
PD44579_153	PD44579	colonies
PD44579_90	PD44579	colonies
PD44579_132	PD44579	colonies
PD44579_115	PD44579	colonies
PD44579_345	PD44579	colonies
PD44579_4	PD44579	colonies
PD44579_54	PD44579	colonies
PD44579_16	PD44579	colonies
PD44579_157	PD44579	colonies
PD44579_144	PD44579	colonies
PD44579_22	PD44579	colonies
PD44579_92	PD44579	colonies
PD44579_3	PD44579	colonies
PD44579_138	PD44579	colonies
PD44579_5	PD44579	colonies
PD44579_77	PD44579	colonies
PD44579_38	PD44579	colonies
PD44579_44	PD44579	colonies
PD44579_79	PD44579	colonies
PD44579_126	PD44579	colonies
PD44579_111	PD44579	colonies
PD44579_6	PD44579	colonies
PD44579_74	PD44579	colonies
PD44579_135	PD44579	colonies
PD44579_88	PD44579	colonies
PD44579_109	PD44579	colonies
PD44579_117	PD44579	colonies
PD44579_101	PD44579	colonies
PD44579_26	PD44579	colonies
PD44579_55	PD44579	colonies
PD44579_87	PD44579	colonies
PD44579_170	PD44579	colonies
PD44579_53	PD44579	colonies
PD44579_30	PD44579	colonies
PD44579_105	PD44579	colonies
PD44579_151	PD44579	colonies
PD44579_121	PD44579	colonies
PD44579_143	PD44579	colonies
PD44579_97	PD44579	colonies
PD44579_296	PD44579	colonies
PD44579_128	PD44579	colonies
PD44579_125	PD44579	colonies
PD44579_134	PD44579	colonies
PD44579_47	PD44579	colonies
PD44579_107	PD44579	colonies
PD44579_9	PD44579	colonies
PD44579_325	PD44579	colonies
PD44579_110	PD44579	colonies
PD44579_67	PD44579	colonies
PD44579_137	PD44579	colonies
PD44579_280	PD44579	colonies
PD44579_299	PD44579	colonies
PD44579_94	PD44579	colonies
PD44579_69	PD44579	colonies
PD44579_63	PD44579	colonies
PD44579_141	PD44579	colonies
PD44579_148	PD44579	colonies
PD44579_50	PD44579	colonies
PD44579_156	PD44579	colonies
PD44579_59	PD44579	colonies
PD44579_124	PD44579	colonies
PD44579_108	PD44579	colonies
PD44579_64	PD44579	colonies
PD44579_154	PD44579	colonies
PD44579_76	PD44579	colonies
PD44579_160	PD44579	colonies
PD44579_171	PD44579	colonies
PD44579_220	PD44579	colonies
PD44579_31	PD44579	colonies
PD44579_118	PD44579	colonies
PD44579_89	PD44579	colonies
PD44579_7	PD44579	colonies
PD44579_145	PD44579	colonies
PD44579_262	PD44579	colonies
PD44579_27	PD44579	colonies
PD44579_43	PD44579	colonies
PD44579_41	PD44579	colonies
PD44579_318	PD44579	colonies
PD44579_20	PD44579	colonies
PD44579_162	PD44579	colonies
PD44579_70	PD44579	colonies
PD44579_131	PD44579	colonies
PD44579_42	PD44579	colonies
PD44579_136	PD44579	colonies
PD44579_233	PD44579	colonies
PD44579_19	PD44579	colonies
PD44579_281	PD44579	colonies
PD44579_68	PD44579	colonies
PD44579_158	PD44579	colonies
PD44579_116	PD44579	colonies
PD44579_46	PD44579	colonies
PD44579_119	PD44579	colonies
PD44579_146	PD44579	colonies
PD44579_183	PD44579	colonies
PD44579_329	PD44579	colonies
PD44579_309	PD44579	colonies
PD44579_25	PD44579	colonies
PD44579_24	PD44579	colonies
PD44579_106	PD44579	colonies
PD44579_48	PD44579	colonies
PD44579_273	PD44579	colonies
PD44579_127	PD44579	colonies
PD44579_270	PD44579	colonies
PD44579_122	PD44579	colonies
PD44579_36	PD44579	colonies
PD44579_169	PD44579	colonies
PD44579_98	PD44579	colonies
PD44579_11	PD44579	colonies
PD44579_155	PD44579	colonies
PD44579_32	PD44579	colonies
PD44579_268	PD44579	colonies
PD44579_142	PD44579	colonies
PD44579_8	PD44579	colonies
PD44579_83	PD44579	colonies
PD44579_113	PD44579	colonies
PD44579_133	PD44579	colonies
PD44579_341	PD44579	colonies
PD44579_167	PD44579	colonies
PD44579_82	PD44579	colonies
PD44579_267	PD44579	colonies
PD44579_73	PD44579	colonies
PD44579_323	PD44579	colonies
PD44579_123	PD44579	colonies
PD44579_28	PD44579	colonies
PD44579_71	PD44579	colonies
PD44579_190	PD44579	colonies
PD44579_103	PD44579	colonies
PD44579_1	PD44579	colonies
PD44579_307	PD44579	colonies
PD44579_308	PD44579	colonies
PD44579_327	PD44579	colonies
PD44579_285	PD44579	colonies
PD44579_306	PD44579	colonies
PD44579_297	PD44579	colonies
PD44579_324	PD44579	colonies
PD44579_217	PD44579	colonies
PD44579_265	PD44579	colonies
PD44579_321	PD44579	colonies
PD44579_260	PD44579	colonies
PD44579_261	PD44579	colonies
PD44579_259	PD44579	colonies
PD44579_298	PD44579	colonies
PD44579_258	PD44579	colonies
PD44579_272	PD44579	colonies
PD44579_344	PD44579	colonies
PD44579_346	PD44579	colonies
PD44579_218	PD44579	colonies
PD44579_221	PD44579	colonies
PD44579_292	PD44579	colonies
PD44579_266	PD44579	colonies
PD44579_264	PD44579	colonies
PD44579_342	PD44579	colonies
PD44579_332	PD44579	colonies
PD44579_311	PD44579	colonies
PD44579_180	PD44579	colonies
PD44579_339	PD44579	colonies
PD44579_340	PD44579	colonies
PD44579_201	PD44579	colonies
PD44579_343	PD44579	colonies
PD44579_204	PD44579	colonies
PD44579_178	PD44579	colonies
PD44579_284	PD44579	colonies
PD44579_269	PD44579	colonies
PD44579_320	PD44579	colonies
PD44579_300	PD44579	colonies
PD44579_305	PD44579	colonies
PD44579_215	PD44579	colonies
PD44579_219	PD44579	colonies
PD44579_301	PD44579	colonies
PD44579_199	PD44579	colonies
PD44579_255	PD44579	colonies
PD44579_277	PD44579	colonies
PD44579_240	PD44579	colonies
PD44579_210	PD44579	colonies
PD44579_245	PD44579	colonies
PD44579_263	PD44579	colonies
PD44579_319	PD44579	colonies
PD44579_315	PD44579	colonies
PD44579_314	PD44579	colonies
PD44579_211	PD44579	colonies
PD44579_223	PD44579	colonies
PD44579_198	PD44579	colonies
